kai_prj_nm,kai_srh_tms,kai_sln_id
Dryer,not heating,K19075029
Washer,FILL AND DRAIN AT SAME TIME,K57579037
Washer,no power,K50302412
Cooking,calibrations,K54426402
Dish,not drying,K31524010
Dryer,DAMAGE LINT SCREEN,K58126442
Dish,gaskets,K16331683
LawnGarden,battery charge,K02294308
Refrigeration,mwo,K82007839
Washer,no hot water on washing cycles,K06305153
Washer,filling,K06305153
Cooking,,K41104894
Dish,CONTROL PANEL NOT WORKING,K13014981
Dish,not cleaning,K27812903
LawnGarden,starts then shuts off,K41003644
Refrigeration,drawer track cracked,K43744712
Dryer,not heating,K44343207
Refrigeration,damage,K33721236
Refrigeration,cooling,K44550414
Washer,all lights flashing and not starting,K50302412
Dryer,not heating,K91230329
Washer,not fiilling enough,K46990780
Washer,LEAKING SOAPY WATER,K01026345
Dryer,LINT SCREEN,K58126442
Refrigeration,LEAKING,K29318071
Dish,not stopping,K57580139
LawnGarden,info,K11535466
Washer,long cycle,K04614622
Dryer,taking too long dry,K06523316
Washer,broken,K42403359
HVAC,not cooling,K71190144
Electronics,remote,K30524263
Refrigeration,icemaker not working,K15930152
Refrigeration,not making ice,K24863464
Cooking,.,K03979508
OutdoorGrill,/temperature guarge is not working,K24552747
Refrigeration,not cooling,K74959840
Refrigeration,not working,K91086931
LawnGarden,B,K03543901
Dish,"NDCS cycle stuck---, reset through breaker.",K10754275
LawnGarden,.,K44908842
LawnGarden,not working properly,K14011222
LawnGarden,uneven cut,K36721628
Refrigeration,filter,K95133724
Dryer,broke,K29003827
Refrigeration,filter,K05135760
Cooking,not heating,K49491496
Washer,noisy,K96253058
Refrigeration,not cold enough,K74959840
Refrigeration,noise,K52846840
Dryer,starting,K54699012
Cooking,inner door glass is dirty,K58229040
Refrigeration,needs filter,K74030111
Washer,CLEAN,K23123086
Refrigeration,corner shelf above crisper broken,K33721236
Cooking,Flame is low,K62630052
Washer,IE,K94520280
Dish,not power,K25716515
LawnGarden,pull rope,K21136013
Cooking,display blank,K15502313
Washer,dryer is not hot enough,K56151513
Dish,starting,K55084900
Cooking,error,K62139310
Washer,does not drain or spin,K76590213
Refrigeration,noise,K95054095
Dish,wheels,K16584205
Refrigeration,taste to water and ice,K35222844
Dryer,not heating,K91230329
Dryer,noise,K81058330
Dryer,drying,K06523316
Refrigeration,mwo,K82007839
Refrigeration,leaking,K43131600
Cooking,odor,K35737045
Refrigeration,NDCS-how to reset filter status light,K03326009
Cooking,NDCS/broken when delivered,K54426402
Cooking,oven door drops open,K41104894
Dish,dispenser,K54141208
LawnGarden,NDCS-no working,K50085239
Washer,info,K54212246
Refrigeration,frost,K17399944
Dish,needs to clean out filter,K50815144
Cooking,burners not sparking,K80509628
Dish,NOT STARTING,K29869023
Washer,not draining,K88041152
Refrigeration,fahrenheit,K80416112
LawnGarden,leaking,K36237126
Washer,not agitating,K51516077
Washer,u6,K35045063
Washer,cloths,K11541192
Washer,water pump not draining,K75910040
Washer,error ue,K26537943
Refrigeration,refrigerator too cold,K06090534
Washer,error code f21,K03131756
Refrigeration,not cooling,K75751213
Dish,dispensing,K54141208
Cooking,cleaning,K65529473
LawnGarden,.,K32346812
Refrigeration,no ice,K36008199
WaterTreatment,draining,K06234291
HVAC,filter,K33640202
Refrigeration,DOOR BASKET DAMAGE,K24323351
Dryer,noise,K07173040
Dish,unable to unlock the door,K26124467
Refrigeration,handle,K83372123
Dish,light,K55084900
Dish,NDCS/not cleaning,K41561495
Cooking,cover for vent came off/broken,K22484744
Dryer,cyci,K23783115
LawnGarden,S,K41003644
Dryer,vent damaged,K06523316
Refrigeration,cleaning,K02615125
LawnGarden,won't start,K11535466
GarageDoorOpener-Tools,back up battery needs to be replced,K30301961
Dryer,NDCS noise,K07173040
Dryer,vent connection,K46428498
Dish,asd,K34314374
GarageDoorOpener-Tools,extension spring broke,K20480219
LawnGarden,idle fluc,K79052997
Cooking,damaged,K22484744
Washer,LEAVES CLOTHES WET,K42727026
Washer,fill,K46990780
Refrigeration,doors aligned,K58301822
LawnGarden,starting,K69228093
Refrigeration,noise humming noise enough ice,K15930152
Washer,NOT STARTING,K50302412
Electronics,PIXELS,K93140211
Refrigeration,NDCS/scratched up pantry drawer cover,K24323351
Dish,NOT STARTING,K41603346
Refrigeration,D,K42202788
LawnGarden,dead battery,K40928422
Electronics,signal,K14356701
LawnGarden,working,K32437401
Washer,info,K54212246
Dryer,not turning on,K21155816
Refrigeration,doors closing properly,K24342516
Dryer,takes too long to dry,K44343207
Dryer,to long to dry,K44343207
Refrigeration,noise,K55224304
Refrigeration,484587,K82833118
Washer,info,K54212246
Dryer,not dryer,K06523316
Washer,noise,K32612438
Cooking,NDCS TURNING ON OVEN,K49855128
Electronics,lamp going out,K77839095
Refrigeration,bucket,K16231355
Dryer,mwo,K46428498
Washer,Not washing correctly,K51516077
Cooking,foil stuck on bottom,K11134109
Electronics,CONNECTIONS,K87169043
LawnGarden,smoking,K24335542
Dryer,cuts on and off between cycles.,K38684248
Washer,.,K50302412
Refrigeration,water filter,K05135760
Washer,NT DRAINING,K17219414
Refrigeration,no ice,K74959840
Refrigeration,door not even,K12306409
Dryer,no heat,K60275334
Washer,clean,K60207654
LawnGarden,starting,K14011222
Refrigeration,water filter,K95133724
HVAC,not cooling,K63720616
Refrigeration,no ice,K04112301
Refrigeration,info,K10912201
Refrigeration,DCS MWO new unit door not aligned properly under 3,K82007839
LawnGarden,not starting,K00865045
Dish,NDCS noises,K37409501
Washer,FABRIC SOFTENER NOT DISPENSING,K54526550
LawnGarden,not moving,K44274422
Refrigeration,info,K82007839
Refrigeration,no power,K75751213
HVAC,noise,K04528439
Refrigeration,NDCS noises,K95054095
Refrigeration,reverse doors,K82007839
Dryer,b,K06523316
Dryer,check vent light,K50220531
LawnGarden,starting,K11535466
Refrigeration,dispencer getting stuck,K50628139
LawnGarden,starting,K84941290
Refrigeration,drawer,K43744712
Refrigeration,freezer wont regulate,K71214385
Washer,rinse cycles,K06847495
Refrigeration,.,K95054095
Dryer,long dry times,K88406101
Washer,vibrating,K32612438
Cooking,DCS-LP conversion,K33442020
Dryer,not heating,K91230329
LawnGarden,won't start,K05978031
Cooking,INFO,K65529473
Dish,complete ight does it turn of on its own,K32002824
Dish,/ broken spoon holder,K41851521
Dish,dishwasher not working,K02020801
Washer,mpa check,K53870459
Refrigeration,not cooling,K74959840
Electronics,remote won't turn on and off,K72131424
Washer,WASHER light blinks wont start,K50302412
Refrigeration,filer,K95133724
LawnGarden,recieved wrong diy part,K44908842
Refrigeration,BEEPING,K55224304
Cooking,not starting,K15348763
Dish,we,K31524010
LawnGarden,starting,K14011222
Cooking,bell,K61205382
Cooking,light bulb,K31220411
Dish,not starting,K25573033
Dish,CLEAN DISHES,K51482973
Dryer,venting,K06523316
LawnGarden,not starting,K41003644
Washer,error code,K92428448
Washer,has a mold smell,K32875240
Dish,noise,K68637517
Electronics,dead pixel on screen,K93140211
Refrigeration,no ice,K12030289
Dish,adjuster,K74398530
Electronics,no picture or sound,K12425231
Refrigeration,NDCS broken crisper,K43744712
Electronics,picture,K59272114
Washer,LEAKING UNDERNETH,K50456523
Washer,mildew odor,K32875240
Washer,mwo,K46428498
Washer,vibration,K11867126
Cooking,question ground strap,K98233649
Dish,NDCS SPRAYER ARM TOP,K22020674
Refrigeration,making noise,K95054095
Dish,mwo,K97140900
Refrigeration,NOISY,K95054095
Washer,NOT RUNNING,K50302412
Refrigeration,buzzzing noise,K31048934
Dish,dishes not dry,K51564148
Cooking,not completing pre-heating cycle,K81344192
Cooking,flame not coming on,K62630052
HVAC,no heat,K33640202
Washer,disp,K01024703
Refrigeration,leaking,K62119374
Cooking,turns on with door closed,K94948106
Washer,spinning,K07008235
Washer,NDCS/noise,K35288556
Washer,mwo,K46428498
Washer,not draining,K36581248
Cooking,NDCS BURNERS NOT IGNITING,K10535142
Refrigeration,needs filter changed,K21126941
Refrigeration,handle,K93836483
Washer,not enough water,K46990780
Refrigeration,damage to ice maker shute,K16231355
WaterTreatment,how to bypass,K10243626
Washer,NDCS/turning off by itslef,K50302412
Electronics,no channels,K74810149
LawnGarden,deck,K53610302
HVAC,filter,K15967107
Refrigeration,icemaker not working,K24863464
Washer,soap use,K42347414
LawnGarden,not starting,K11535466
Dryer,taking to long to dry,K44343207
Refrigeration,OFF,K16931553
Dish,noise,K42927550
Cooking,not heating,K19002411
Cooking,noise,K19969266
Refrigeration,not makin ice,K54111380
Washer,noise during spin,K75654256
Refrigeration,not cooling,K74959840
Refrigeration,humming noise,K95054095
HVAC,info,K48133301
Dryer,NDCS-product specs,K69112520
Dish,stripped inlet at install,K97140900
Refrigeration,shelf,K33721236
Refrigeration,frost,K50628139
Dish,hgfhnhhm,K28640668
Washer,mwo,K46428498
LawnGarden,battery,K07330015
LawnGarden,cant engage blades,K32437401
Electronics,channels,K88057114
Refrigeration,no ice production,K04112301
LawnGarden,dead battery,K40928422
Washer,starting,K50302412
Refrigeration,door,K15104968
Dryer,noise,K81058330
Dish,noise during fill,K37409501
Washer,not advancing cyles,K29365455
Dish,NOT DRAINING ALL WATER,K68815161
LawnGarden,not starting,K14011222
Cooking,time clock,K35221207
Refrigeration,cooling,K01043980
Electronics,damaged cords,K03125031
Cooking,oven light not turning off,K80509628
Refrigeration,water filter light still orange,K95133724
Dryer,vents info,K70562743
Refrigeration,NDCS ice maker issues,K54111380
Washer,not spinning,K15541308
Dish,wont start,K29869023
Refrigeration,no ice,K04112301
Dryer,lint on back wall,K24114152
Refrigeration,handle is broken,K93836483
Cooking,not turning on,K49491496
Washer,mwo,K46428498
Dish,will not  come on,K55084900
Washer,lid lock wont shut off,K29365455
Refrigeration,/icemaker not making ice,K82007839
Cooking,start,K49491496
Refrigeration,frost,K50628139
Washer,water is left in soap dispensor,K01024703
Refrigeration,water filter,K05135760
Refrigeration,freezer temperature not cold enough,K10912201
LawnGarden,ignition,K18104905
Washer,cycle,K51516077
Refrigeration,filter,K04112301
LawnGarden,S,K49132321
Dish,error code,K60457742
Washer,cycle,K51516077
Washer,LEVEL PRODUCT,K90302010
Refrigeration,filter,K95133724
Cooking,c,K36823568
LawnGarden,not starting,K05064512
LawnGarden,battery,K11535466
Refrigeration,deli drawer damadged,K25515805
Cooking,drawer,K50252331
LawnGarden,not startin gat all,K41003644
Refrigeration,bin,K24323351
LawnGarden,belt comes off,K60312379
Refrigeration,not cooling,K44550414
Cooking,oven glass is dirty,K58229040
LawnGarden,,K03543901
Washer,delivery issue,K12158043
Dryer,borken,K29003827
Dish,not draining,K68815161
Refrigeration,leaking water,K48988063
Refrigeration,ice maker,K38851271
Washer,warranty,K75330214
HVAC,help with filter,K21266263
Refrigeration,water dispensing slowly,K89008224
Refrigeration,One door is higher,K58301822
Washer,leaking from bottem,K85973244
LawnGarden,working,K41138082
Refrigeration,ice,K91086931
Refrigeration,frost,K17399944
Refrigeration,.,K44210224
Refrigeration,not closing,K82216583
OutdoorGrill,working,K84884630
Refrigeration,DOOR HANDLE NEEDS REVERSING,K15401574
Washer,not heating,K60275334
Cooking,not heating,K03979508
LawnGarden,repair,K25514225
Dryer,MWO,K46428498
Washer,no starting,K50302412
Refrigeration,NDCS how to check freezer tempature,K03326009
Cooking,blue display,K53451734
Dryer,NDCS/clean dryer vent,K44343207
LawnGarden,.,K21173929
Refrigeration,door no closing,K93720990
Dish,noise,K00359504
LawnGarden,starting,K25514225
Washer,NDCS/grinding noise,K33164855
Cooking,mwo,K41104894
Refrigeration,filter,K95133724
LawnGarden,dies out dies out,K32205842
Dryer,not heating,K11850393
Refrigeration,filter,K05135760
Refrigeration,.,K05135760
Refrigeration,,K82007839
Dish,ODOR SMELL,K33015107
Refrigeration,not making ice,K54111380
Dish,DCS-lock button,K25716515
LawnGarden,battery,K11535466
Refrigeration,MWO,K95133724
OutdoorGrill,burners not lighting,K50384241
Refrigeration,DOOR NOT LINED UP,K24342516
Cooking,needs top grate,K04685240
LawnGarden,dead battery,K69228093
Refrigeration,leaking,K34421700
LawnGarden,Belts,K60312379
Dryer,mwo,K46428498
LawnGarden,gas,K45014600
Refrigeration,mwo,K82007839
Dryer,drying,K44343207
LawnGarden,dead battery,K40928422
Electronics,netflix,K34990734
Refrigeration,not cooling,K13421711
HVAC,not starting,K21240610
Refrigeration,no  filter,K72567184
Refrigeration,door alarm,K24342516
Electronics,SIGNAL,K43504968
LawnGarden,not starting,K12345572
Refrigeration,filter,K05135760
Refrigeration,pm check,K86744510
Dish,filter,K40813151
Refrigeration,Light,K10121629
Refrigeration,ice,K04112301
LawnGarden,chute,K14452411
Refrigeration,.,K04112301
Refrigeration,im,K95133724
HVAC,NDCS NOT COOLING,K23388585
LawnGarden,belt,K08460454
Cooking,.,K04685240
LawnGarden,dead battery,K40928422
LawnGarden,not moving,K09786180
Refrigeration,icemaker not working,K05703652
LawnGarden,working,K02294308
Cooking,.,K33442020
Dryer,CLOTHES,K06523316
Cooking,mwo,K41104894
LawnGarden,won't start,K11535466
Dryer,lint filter damaged,K58126442
Refrigeration,.,K51685204
Refrigeration,mwo,K82007839
LawnGarden,blade size,K03543901
Cooking,lf burner broken,K46105080
LawnGarden,solinoid,K02294308
Dryer,MWO,K46428498
LawnGarden,bagger doesn't fit,K65929155
Dryer,vent needs cleaning,K44343207
Refrigeration,vegetable bin freezing vegetables,K01043980
LawnGarden,info,K14011222
Refrigeration,left side of the door plastic broke,K43744712
Refrigeration,DISPENSER,K57435228
LawnGarden,not starting,K50085239
Dryer,not always drying,K06523316
Dryer,noise,K07173040
Refrigeration,waterline is kinked,K45546522
LawnGarden,.,K11535466
Washer,noise,K35893596
Refrigeration,water filter change,K05135760
Refrigeration,not making ice/no water to ice tray-probly frozen,K72567184
HVAC,not heating,K47226544
Electronics,turned off/flashing,K38520463
Dish,power,K41603346
Refrigeration,water filter leaking,K74030111
Dryer,to long to dry,K44343207
Refrigeration,not making ice,K05703652
WaterTreatment,cycle,K39202515
OutdoorGrill,not heating enough,K24552747
Cooking,Not Heating,K50613634
Dish,dcleaning,K51482973
Refrigeration,cripser shelf glass broke,K33721236
Dryer,NOT HEATING,K06523316
Refrigeration,cooling,K74959840
LawnGarden,mulcher blades to be installed,K84941290
Dish,upper rack falls,K85291412
Washer,NOT FILLING    SOIL LEVEL  AND WATER TEMP,K55563242
Dish,NDCS/not working,K54134573
Refrigeration,not making ice,K54111380
Dish,no water coming in,K00454243
OutdoorGrill,gauge broken,K24552747
Refrigeration,NOT MAKING ICE,K04112301
Washer,needs leveling,K39619404
Washer,odor,K15311533
Refrigeration,not cooling,K74959840
Dish,dishes wet,K22249212
Dish,dishes wet,K22249212
Washer,wet,K42727026
Washer,.,K62559113
Dish,vvv,K33015107
Dish,dishwasher rocks,K75111173
Dish,upper rack track is broken,K02226947
Refrigeration,freezer not freezing,K74959840
LawnGarden,not starting,K00865045
LawnGarden,.,K36237126
Refrigeration,AirFilter,K93664566
LawnGarden,.,K11535466
Dryer,cl code,K21541259
Dish,Error E24,K77043272
Cooking,foil on bottom panel,K43805228
Cooking,LIGHT NOT TURNING ON,K22544454
Refrigeration,noise,K95054095
Dryer,mwo,K46428498
Refrigeration,running to long,K80252552
Washer,not unlocking,K35124648
Washer,not starting,K50302412
Washer,product,K23123086
Electronics,cannot turn it up,K36434852
Refrigeration,damage,K24323351
Refrigeration,filter,K95133724
Dryer,dry,K24114152
Refrigeration,MOVING,K44550414
Refrigeration,NDCS not making ice,K54111380
Refrigeration,not cooling fresh food,K74959840
Dryer,long time to dry,K06523316
Cooking,oven glass streaked,K58229040
Fitness,will not turn on,K45277225
LawnGarden,hard to start,K14011222
LawnGarden,.,K05612331
Washer,wont start,K50302412
Refrigeration,noise in freezer section,K02553768
Washer,dispensing,K06847495
Electronics,help with antenna,K72131424
